Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,3157.750000,3167.000000,3019.000000,3036.149902,3036.149902,8386400
2020-11-02,3061.739990,3366.800049,2950.120117,3311.370117,3311.370117,29430900
2020-11-09,3231.030029,3289.000000,3019.479980,3128.810059,3128.810059,26266500
2020-11-16,3093.199951,3189.250000,3072.689941,3099.399902,3099.399902,16554900
2020-11-23,3116.699951,3216.189941,3065.459961,3195.340088,3195.340088,14494300
2020-11-30,3208.479980,3248.949951,3125.550049,3162.580078,3162.580078,17535800
2020-12-07,3156.479980,3184.129883,3072.820068,3116.419922,3116.419922,16233300
2020-12-14,3143.000000,3263.510010,3126.000000,3201.649902,3201.649902,21372900
2020-12-21,3200.010010,3226.969971,3166.000000,3172.689941,3172.689941,9751900
2020-12-28,3194.000000,3350.649902,3172.689941,3256.929932,3256.929932,16726200
2021-01-04,3270.000000,3272.000000,3131.159912,3182.699951,3182.699951,18513900
2021-01-11,3148.010010,3189.949951,3086.000000,3104.250000,3104.250000,17834100
2021-01-18,3107.000000,3348.550049,3096.000000,3292.229980,3292.229980,16372900
2021-01-25,3328.500000,3363.889893,3184.550049,3206.199951,3206.199951,18808000
2021-02-01,3242.360107,3434.000000,3235.030029,3352.149902,3352.149902,25639100
2021-02-08,3358.500000,3365.000000,3233.310059,3277.709961,3277.709961,13249200
2021-02-15,3254.050049,3338.000000,3245.750000,3249.899902,3249.899902,13204800
2021-02-22,3208.129883,3232.320068,3036.699951,3092.929932,3092.929932,20013900
2021-03-01,3127.889893,3163.520020,2881.000000,3000.459961,3000.459961,20183800
2021-03-08,3015.000000,3131.780029,2951.310059,3089.489990,3089.489990,16425800
2021-03-15,3074.570068,3173.050049,3016.629883,3074.959961,3074.959961,16846000
2021-03-22,3067.850098,3182.000000,2996.000000,3052.030029,3052.030029,16554900
2021-03-29,3055.439941,3162.439941,3028.449951,3161.000000,3161.000000,11117800
2021-04-05,3173.000000,3372.199951,3161.239990,3372.199951,3372.199951,16372500
2021-04-12,3355.209961,3432.000000,3326.000000,3399.439941,3399.439941,16162400
2021-04-19,3390.330078,3435.929932,3301.449951,3340.879883,3340.879883,13333000
2021-04-26,3348.000000,3554.000000,3330.939941,3467.419922,3467.419922,28031400
2021-05-03,3484.729980,3486.649902,3247.199951,3291.610107,3291.610107,24184200
2021-05-10,3282.320068,3283.000000,3127.370117,3222.899902,3222.899902,22070700
2021-05-17,3245.929932,3312.000000,3184.000000,3203.080078,3203.080078,15970100
2021-05-24,3215.500000,3295.729980,3210.500000,3223.070068,3223.070068,12958900
2021-05-31,3243.500000,3250.979980,3184.030029,3206.219971,3206.219971,9092500
2021-06-07,3197.330078,3366.580078,3172.199951,3346.830078,3346.830078,14381900
2021-06-14,3346.830078,3507.000000,3335.500000,3486.899902,3486.899902,19582900
2021-06-21,3476.419922,3524.860107,3394.179932,3401.459961,3401.459961,17208500
2021-06-28,3416.000000,3511.719971,3409.419922,3510.979980,3510.979980,11951700
2021-07-05,3530.110107,3759.989990,3529.000000,3719.340088,3719.340088,21001700
2021-07-12,3744.000000,3773.080078,3570.459961,3573.629883,3573.629883,16943100
2021-07-19,3532.580078,3666.110107,3499.159912,3656.639893,3656.639893,15061000
2021-07-26,3673.169922,3712.080078,3306.979980,3327.590088,3327.590088,25508500
2021-08-02,3353.100098,3391.000000,3299.770020,3344.939941,3344.939941,14763900
2021-08-09,3343.610107,3358.000000,3269.669922,3293.969971,3293.969971,11874900
2021-08-16,3283.000000,3300.000000,3175.760010,3199.949951,3199.949951,16636000
2021-08-23,3211.899902,3352.320068,3210.010010,3349.629883,3349.629883,11990300
2021-08-30,3357.429932,3527.000000,3355.219971,3478.050049,3478.050049,16677900
2021-09-06,3478.000000,3549.989990,3462.909912,3469.149902,3469.149902,10903800
2021-09-13,3482.800049,3497.959961,3402.010010,3462.520020,3462.520020,14663600
2021-09-20,3396.000000,3429.260010,3305.010010,3425.520020,3425.520020,14357000
2021-09-27,3371.500000,3415.570068,3255.939941,3283.260010,3283.260010,16305600
2021-10-04,3279.389893,3325.750000,3176.250000,3288.620117,3288.620117,14729900
2021-10-11,3275.000000,3410.419922,3236.280029,3409.020020,3409.020020,13558500
2021-10-18,3388.360107,3462.860107,3331.300049,3335.550049,3335.550049,12715200
2021-10-25,3335.000000,3479.000000,3273.320068,3372.429932,3372.429932,19804700
2021-10-29,3300.020020,3374.820068,3273.320068,3372.429932,3372.429932,6486077
